NAME,mean_commute_minutes,zip_code
ZCTA5 91203,4.331,91203
ZCTA5 91204,4.856,91204
ZCTA5 91205,8.684,91205
ZCTA5 91206,7.733,91206
ZCTA5 91207,2.735,91207
ZCTA5 91208,4.021,91208
ZCTA5 91210,0.107,91210
ZCTA5 91214,7.991,91214
ZCTA5 91301,6.398,91301
ZCTA5 91302,6.552,91302
ZCTA5 91303,9.414,91303
ZCTA5 91304,13.878,91304
ZCTA5 91306,12.519,91306
ZCTA5 91307,6.176,91307
ZCTA5 91311,10.99,91311
ZCTA5 91316,7.364,91316
ZCTA5 91321,9.332,91321
ZCTA5 91324,8.53,91324
ZCTA5 91325,10.095,91325
ZCTA5 91326,9.8,91326
ZCTA5 91330,0.426,91330
ZCTA5 91331,25.151,91331
ZCTA5 91335,20.889,91335
ZCTA5 91340,9.473,91340
ZCTA5 91342,22.783,91342
ZCTA5 91343,16.319,91343
ZCTA5 91344,13.732,91344
ZCTA5 91345,4.719,91345
ZCTA5 91350,10.973,91350
ZCTA5 91351,8.949,91351
ZCTA5 91352,11.759,91352
ZCTA5 91354,8.904,91354
ZCTA5 91355,8.192,91355
ZCTA5 91356,8.239,91356
ZCTA5 91361,4.949,91361
ZCTA5 91362,8.828,91362
ZCTA5 91364,6.998,91364
ZCTA5 91367,12.608,91367
ZCTA5 91371,0.0,91371
ZCTA5 91381,5.552,91381
ZCTA5 91384,6.129,91384
ZCTA5 91387,12.6,91387
ZCTA5 91390,4.504,91390
ZCTA5 91401,11.436,91401
ZCTA5 91402,18.361,91402
ZCTA5 91403,7.828,91403
ZCTA5 91405,14.621,91405
ZCTA5 91406,14.784,91406
ZCTA5 91411,7.14,91411
ZCTA5 91423,9.172,91423
ZCTA5 91436,3.829,91436
ZCTA5 91501,4.633,91501
ZCTA5 91502,2.877,91502
ZCTA5 91504,7.096,91504
ZCTA5 91505,8.565,91505
ZCTA5 91506,5.621,91506
ZCTA5 91601,10.624,91601
ZCTA5 91602,6.239,91602
ZCTA5 91604,9.352,91604
ZCTA5 91605,13.34,91605
ZCTA5 91606,12.109,91606
ZCTA5 91607,8.232,91607
ZCTA5 91608,0.036,91608
ZCTA5 91702,17.264,91702
ZCTA5 91706,18.351,91706
ZCTA5 91711,8.92,91711
ZCTA5 91722,9.473,91722
ZCTA5 91723,5.207,91723
ZCTA5 91724,7.583,91724
ZCTA5 91731,6.607,91731
ZCTA5 91732,14.965,91732
ZCTA5 91733,11.221,91733
ZCTA5 91740,6.591,91740
ZCTA5 91741,6.517,91741
ZCTA5 91744,21.293,91744
ZCTA5 91745,13.67,91745
ZCTA5 91746,7.478,91746
ZCTA5 91748,11.627,91748
ZCTA5 91750,8.171,91750
ZCTA5 91754,8.347,91754
ZCTA5 91755,5.926,91755
ZCTA5 91759,0.071,91759
ZCTA5 91765,11.092,91765
ZCTA5 91766,17.86,91766
ZCTA5 91767,12.907,91767
ZCTA5 91768,8.187,91768
ZCTA5 91770,14.978,91770
ZCTA5 91773,8.311,91773
ZCTA5 91775,5.822,91775
ZCTA5 91776,9.528,91776
ZCTA5 91780,8.647,91780
ZCTA5 91789,10.416,91789
ZCTA5 91790,10.816,91790
ZCTA5 91791,8.165,91791
ZCTA5 91792,7.67,91792
ZCTA5 91801,13.809,91801
ZCTA5 91803,7.476,91803
ZCTA5 92397,1.195,92397
ZCTA5 93243,0.204,93243
ZCTA5 93510,2.071,93510
ZCTA5 93532,0.683,93532
ZCTA5 93534,7.72,93534
ZCTA5 93535,14.774,93535
ZCTA5 93536,16.874,93536
ZCTA5 93543,3.022,93543
ZCTA5 93544,0.261,93544
ZCTA5 93550,17.541,93550
ZCTA5 93551,13.328,93551
ZCTA5 93552,10.534,93552
ZCTA5 93553,0.216,93553
ZCTA5 93560,5.097,93560
ZCTA5 93563,0.035,93563
ZCTA5 93591,1.439,93591
