zip_code,station_count,mean_commute_time,median_income
91765,0.0,11.092,105712.0
91766,0.0,17.86,72692.0
91767,0.0,12.907,75870.0
91768,0.0,8.187,71462.0
91770,0.0,14.978,70863.0
91773,0.0,8.311,101466.0
91775,0.0,5.822,107359.0
91776,0.0,9.528,77147.0
91780,0.0,8.647,94946.0
91789,0.0,10.416,123555.0
91790,0.0,10.816,97868.0
91791,0.0,8.165,96470.0
91792,0.0,7.67,94439.0
91801,0.0,13.809,81580.0
91803,0.0,7.476,76694.0
92397,0.0,1.195,77171.0
93243,0.0,0.204,
93510,0.0,2.071,123438.0
93532,0.0,0.683,98788.0
93534,0.0,7.72,55945.0
93535,0.0,14.774,61183.0
93536,0.0,16.874,97418.0
93543,0.0,3.022,69727.0
93544,0.0,0.261,80560.0
93550,0.0,17.541,61394.0
93551,0.0,13.328,107133.0
93552,0.0,10.534,85890.0
93553,0.0,0.216,71587.0
93560,0.0,5.097,76663.0
93563,0.0,0.035,
93591,0.0,1.439,57826.0
