NAME,median_household_income,zip_code
ZCTA5 91042,81324.0,91042
ZCTA5 91046,-666666666.0,91046
ZCTA5 91101,86631.0,91101
ZCTA5 91103,78513.0,91103
ZCTA5 91104,93856.0,91104
ZCTA5 91105,163253.0,91105
ZCTA5 91106,91220.0,91106
ZCTA5 91107,120822.0,91107
ZCTA5 91108,173312.0,91108
ZCTA5 91201,67102.0,91201
ZCTA5 91202,90232.0,91202
ZCTA5 91203,70650.0,91203
ZCTA5 91204,69102.0,91204
ZCTA5 91205,58290.0,91205
ZCTA5 91206,85651.0,91206
ZCTA5 91207,106984.0,91207
ZCTA5 91208,112485.0,91208
ZCTA5 91210,-666666666.0,91210
ZCTA5 91214,126175.0,91214
ZCTA5 91301,157582.0,91301
ZCTA5 91302,172651.0,91302
ZCTA5 91303,77437.0,91303
ZCTA5 91304,79673.0,91304
ZCTA5 91306,82380.0,91306
ZCTA5 91307,130877.0,91307
ZCTA5 91311,112172.0,91311
ZCTA5 91316,85354.0,91316
ZCTA5 91321,84503.0,91321
ZCTA5 91324,100086.0,91324
ZCTA5 91325,83853.0,91325
ZCTA5 91326,142170.0,91326
ZCTA5 91330,-666666666.0,91330
ZCTA5 91331,76942.0,91331
ZCTA5 91335,74632.0,91335
ZCTA5 91340,71664.0,91340
ZCTA5 91342,89264.0,91342
ZCTA5 91343,77790.0,91343
ZCTA5 91344,111897.0,91344
ZCTA5 91345,93622.0,91345
ZCTA5 91350,137626.0,91350
ZCTA5 91351,104214.0,91351
ZCTA5 91352,68132.0,91352
ZCTA5 91354,145442.0,91354
ZCTA5 91355,109752.0,91355
ZCTA5 91356,105513.0,91356
ZCTA5 91361,127304.0,91361
ZCTA5 91362,135998.0,91362
ZCTA5 91364,128306.0,91364
ZCTA5 91367,106355.0,91367
ZCTA5 91371,-666666666.0,91371
ZCTA5 91381,148873.0,91381
ZCTA5 91384,127416.0,91384
ZCTA5 91387,111090.0,91387
ZCTA5 91390,145465.0,91390
ZCTA5 91401,72476.0,91401
ZCTA5 91402,55130.0,91402
ZCTA5 91403,107970.0,91403
ZCTA5 91405,58365.0,91405
ZCTA5 91406,71819.0,91406
ZCTA5 91411,73669.0,91411
ZCTA5 91423,104205.0,91423
ZCTA5 91436,155346.0,91436
ZCTA5 91501,80198.0,91501
ZCTA5 91502,59711.0,91502
ZCTA5 91504,99318.0,91504
ZCTA5 91505,104361.0,91505
ZCTA5 91506,104009.0,91506
ZCTA5 91601,73735.0,91601
ZCTA5 91602,93210.0,91602
ZCTA5 91604,132494.0,91604
ZCTA5 91605,61031.0,91605
ZCTA5 91606,64976.0,91606
ZCTA5 91607,82995.0,91607
ZCTA5 91608,56898.0,91608
ZCTA5 91702,82382.0,91702
ZCTA5 91706,76348.0,91706
ZCTA5 91711,115079.0,91711
ZCTA5 91722,95157.0,91722
ZCTA5 91723,82018.0,91723
ZCTA5 91724,96720.0,91724
ZCTA5 91731,57047.0,91731
ZCTA5 91732,62047.0,91732
ZCTA5 91733,63883.0,91733
ZCTA5 91740,96433.0,91740
ZCTA5 91741,117252.0,91741
ZCTA5 91744,86290.0,91744
ZCTA5 91745,101427.0,91745
ZCTA5 91746,83634.0,91746
ZCTA5 91748,83610.0,91748
ZCTA5 91750,103774.0,91750
ZCTA5 91754,83490.0,91754
ZCTA5 91755,70459.0,91755
ZCTA5 91759,111071.0,91759
ZCTA5 91765,105712.0,91765
ZCTA5 91766,72692.0,91766
ZCTA5 91767,75870.0,91767
ZCTA5 91768,71462.0,91768
ZCTA5 91770,70863.0,91770
ZCTA5 91773,101466.0,91773
ZCTA5 91775,107359.0,91775
ZCTA5 91776,77147.0,91776
ZCTA5 91780,94946.0,91780
ZCTA5 91789,123555.0,91789
ZCTA5 91790,97868.0,91790
ZCTA5 91791,96470.0,91791
ZCTA5 91792,94439.0,91792
ZCTA5 91801,81580.0,91801
ZCTA5 91803,76694.0,91803
ZCTA5 92397,77171.0,92397
ZCTA5 93243,-666666666.0,93243
ZCTA5 93510,123438.0,93510
ZCTA5 93532,98788.0,93532
ZCTA5 93534,55945.0,93534
ZCTA5 93535,61183.0,93535
ZCTA5 93536,97418.0,93536
ZCTA5 93543,69727.0,93543
ZCTA5 93544,80560.0,93544
ZCTA5 93550,61394.0,93550
ZCTA5 93551,107133.0,93551
ZCTA5 93552,85890.0,93552
ZCTA5 93553,71587.0,93553
ZCTA5 93560,76663.0,93560
ZCTA5 93563,-666666666.0,93563
ZCTA5 93591,57826.0,93591
