STOP_ID,STOP_NAME,STOP_LAT,STOP_LON,geometry,lon,lat
80308,Vermont / Athens Station,33.928683,-118.291733,POINT (-118.291733 33.928683),-118.291733,33.928683
80309,Harbor Freeway Station,33.928714,-118.2811,POINT (-118.2811 33.928714),-118.2811,33.928714
80310,Avalon Station,33.927465,-118.265217,POINT (-118.265217 33.927465),-118.265217,33.927465
80311,Willowbrook - Rosa Parks Station - Metro C-Line,33.928258,-118.238052,POINT (-118.238052 33.928258),-118.238052,33.928258
80312,Long Beach Blvd Station,33.92488,-118.209945,POINT (-118.209945 33.92488),-118.209945,33.92488
80313,Lakewood Blvd Station,33.91307,-118.1406,POINT (-118.1406 33.91307),-118.1406,33.91307
80314,Norwalk Station,33.914033,-118.104717,POINT (-118.104717 33.914033),-118.104717,33.914033
80401,Atlantic Station,34.033398,-118.154469,POINT (-118.154469 34.033398),-118.154469,34.033398
80402,East LA Civic Center Station,34.033364,-118.161206,POINT (-118.161206 34.033364),-118.161206,34.033364
80403,Maravilla Station,34.033319,-118.16814,POINT (-118.16814 34.033319),-118.16814,34.033319
80404,Indiana Station,34.0343,-118.192182,POINT (-118.192182 34.0343),-118.192182,34.0343
80405,Soto Station,34.043747,-118.210061,POINT (-118.210061 34.043747),-118.210061,34.043747
80406,Mariachi Plaza / Boyle Heights Station,34.047215,-118.219648,POINT (-118.219648 34.047215),-118.219648,34.047215
80407,Pico / Aliso Station,34.047634,-118.22594,POINT (-118.22594 34.047634),-118.22594,34.047634
80409,Union Station - Metro A-Line,34.056061,-118.234759,POINT (-118.234759 34.056061),-118.234759,34.056061
80410,Chinatown Station,34.063861,-118.23584,POINT (-118.23584 34.063861),-118.23584,34.063861
80411,Lincoln Heights / Cypress Park Station,34.080949,-118.220429,POINT (-118.220429 34.080949),-118.220429,34.080949
80412,Heritage Square / Arroyo Station,34.087227,-118.213213,POINT (-118.213213 34.087227),-118.213213,34.087227
80413,Southwest Museum Station,34.098243,-118.206712,POINT (-118.206712 34.098243),-118.206712,34.098243
80414,Highland Park Station,34.111179,-118.192606,POINT (-118.192606 34.111179),-118.192606,34.111179
80415,South Pasadena Station,34.115186,-118.157886,POINT (-118.157886 34.115186),-118.157886,34.115186
80416,Fillmore Station,34.133521,-118.148126,POINT (-118.148126 34.133521),-118.148126,34.133521
80417,Del Mar Station,34.14191,-118.148214,POINT (-118.148214 34.14191),-118.148214,34.14191
80418,Memorial Park Station,34.148356,-118.147512,POINT (-118.147512 34.148356),-118.147512,34.148356
80419,Lake Station,34.151806,-118.13139,POINT (-118.13139 34.151806),-118.13139,34.151806
80420,Allen Station,34.152417,-118.114348,POINT (-118.114348 34.152417),-118.114348,34.152417
80421,Sierra Madre Villa Station,34.147752,-118.081212,POINT (-118.081212 34.147752),-118.081212,34.147752
80422,Arcadia Station,34.14286,-118.029199,POINT (-118.029199 34.14286),-118.029199,34.14286
80423,Monrovia Station,34.133155,-118.003473,POINT (-118.003473 34.133155),-118.003473,34.133155
80424,Duarte / City of Hope Station,34.132518,-117.96768,POINT (-117.96768 34.132518),-117.96768,34.132518
80425,Irwindale Station,34.129048,-117.932506,POINT (-117.932506 34.129048),-117.932506,34.129048
80426,Azusa Downtown Station,34.135863,-117.906631,POINT (-117.906631 34.135863),-117.906631,34.135863
80427,APU / Citrus College Station,34.136814,-117.891636,POINT (-117.891636 34.136814),-117.891636,34.136814
80701,Aviation / Century Station,33.945572,-118.378683,POINT (-118.378683 33.945572),-118.378683,33.945572
80702,Airport Metro Connector,33.949867,-118.378679,POINT (-118.378679 33.949867),-118.378679,33.949867
80703,Westchester / Veterans Station,33.962031,-118.374378,POINT (-118.374378 33.962031),-118.374378,33.962031
80704,Downtown Inglewood Station,33.967156,-118.351497,POINT (-118.351497 33.967156),-118.351497,33.967156
80705,Fairview Heights Station,33.975252,-118.336072,POINT (-118.336072 33.975252),-118.336072,33.975252
80706,Hyde Park Station,33.988187,-118.330816,POINT (-118.330816 33.988187),-118.330816,33.988187
80707,Leimert Park Station,34.003909,-118.332016,POINT (-118.332016 34.003909),-118.332016,34.003909
80708,Martin Luther King Jr Station,34.009563,-118.335359,POINT (-118.335359 34.009563),-118.335359,34.009563
80709,Expo / Crenshaw K-Line Station,34.022156,-118.334851,POINT (-118.334851 34.022156),-118.334851,34.022156
81401,Grand Ave Arts / Bunker Hill Station,34.054724,-118.251531,POINT (-118.251531 34.054724),-118.251531,34.054724
81402,Historic Broadway Station,34.052156,-118.246321,POINT (-118.246321 34.052156),-118.246321,34.052156
81403,Little Tokyo / Arts District Station,34.048845,-118.238757,POINT (-118.238757 34.048845),-118.238757,34.048845
