STOP_ID,STOP_NAME,STOP_LAT,STOP_LON,geometry,lon,lat,index_right,zip_code,GEOID20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,NAME_x,mean_commute_time,NAME_y,median_income
80303,El Segundo Station,33.916063,-118.386539,POINT (-118.386539 33.916063),-118.386539,33.916063,28126,90245,90245,B5,G6350,S,13850727,4084,+33.9171449,-118.4015540,ZCTA5 90245,5.372,ZCTA5 90245,142596.0
80304,Mariposa Station,33.9232,-118.387572,POINT (-118.387572 33.9232),-118.387572,33.9232,28126,90245,90245,B5,G6350,S,13850727,4084,+33.9171449,-118.4015540,ZCTA5 90245,5.372,ZCTA5 90245,142596.0
80305,Aviation / LAX Station,33.929621,-118.377134,POINT (-118.377134 33.929621),-118.377134,33.929621,8012,90045,90045,B5,G6350,S,27865944,779,+33.9423871,-118.4160617,ZCTA5 90045,10.649,ZCTA5 90045,125692.0
80306,Hawthorne / Lennox Station,33.933408,-118.351602,POINT (-118.351602 33.933408),-118.351602,33.933408,28679,90304,90304,B5,G6350,S,4246477,0,+33.9373602,-118.3587951,ZCTA5 90304,7.245,ZCTA5 90304,57647.0
80307,Crenshaw C-Line Station,33.925201,-118.32655,POINT (-118.32655 33.925201),-118.32655,33.925201,28184,90303,90303,B5,G6350,S,5026381,14269,+33.9362911,-118.3326393,ZCTA5 90303,6.035,ZCTA5 90303,67598.0
80308,Vermont / Athens Station,33.928683,-118.291733,POINT (-118.291733 33.928683),-118.291733,33.928683,8312,90044,90044,B5,G6350,S,13214543,0,+33.9526526,-118.2920125,ZCTA5 90044,20.382,ZCTA5 90044,48386.0
80309,Harbor Freeway Station,33.928714,-118.2811,POINT (-118.2811 33.928714),-118.2811,33.928714,28806,90061,90061,B5,G6350,S,7027840,1362,+33.9212798,-118.2741865,ZCTA5 90061,6.215,ZCTA5 90061,56837.0
80310,Avalon Station,33.927465,-118.265217,POINT (-118.265217 33.927465),-118.265217,33.927465,28806,90061,90061,B5,G6350,S,7027840,1362,+33.9212798,-118.2741865,ZCTA5 90061,6.215,ZCTA5 90061,56837.0
80311,Willowbrook - Rosa Parks Station - Metro C-Line,33.928258,-118.238052,POINT (-118.238052 33.928258),-118.238052,33.928258,28786,90059,90059,B5,G6350,S,8188713,42487,+33.9274687,-118.2487959,ZCTA5 90059,7.158,ZCTA5 90059,50939.0
80312,Long Beach Blvd Station,33.92488,-118.209945,POINT (-118.209945 33.92488),-118.209945,33.92488,7689,90262,90262,B5,G6350,S,12359842,0,+33.9238313,-118.2013519,ZCTA5 90262,15.664,ZCTA5 90262,67620.0
80313,Lakewood Blvd Station,33.91307,-118.1406,POINT (-118.1406 33.91307),-118.1406,33.91307,7687,90242,90242,B5,G6350,S,11696600,49898,+33.9217932,-118.1405877,ZCTA5 90242,10.755,ZCTA5 90242,81448.0
80314,Norwalk Station,33.914033,-118.104717,POINT (-118.104717 33.914033),-118.104717,33.914033,7459,90650,90650,B5,G6350,S,25647346,96906,+33.9077898,-118.0824874,ZCTA5 90650,25.654,ZCTA5 90650,91259.0
80401,Atlantic Station,34.033398,-118.154469,POINT (-118.154469 34.033398),-118.154469,34.033398,8309,90022,90022,B5,G6350,S,11453823,11013,+34.0237282,-118.1562745,ZCTA5 90022,17.272,ZCTA5 90022,65142.0
80402,East LA Civic Center Station,34.033364,-118.161206,POINT (-118.161206 34.033364),-118.161206,34.033364,8309,90022,90022,B5,G6350,S,11453823,11013,+34.0237282,-118.1562745,ZCTA5 90022,17.272,ZCTA5 90022,65142.0
80403,Maravilla Station,34.033319,-118.16814,POINT (-118.16814 34.033319),-118.16814,34.033319,8309,90022,90022,B5,G6350,S,11453823,11013,+34.0237282,-118.1562745,ZCTA5 90022,17.272,ZCTA5 90022,65142.0
80404,Indiana Station,34.0343,-118.192182,POINT (-118.192182 34.0343),-118.192182,34.0343,8014,90063,90063,B5,G6350,S,8507622,0,+34.0452484,-118.1857803,ZCTA5 90063,13.727,ZCTA5 90063,69307.0
80405,Soto Station,34.043747,-118.210061,POINT (-118.210061 34.043747),-118.210061,34.043747,28082,90033,90033,B5,G6350,S,8485027,94969,+34.0503802,-118.2119912,ZCTA5 90033,11.339,ZCTA5 90033,50616.0
80406,Mariachi Plaza / Boyle Heights Station,34.047215,-118.219648,POINT (-118.219648 34.047215),-118.219648,34.047215,28082,90033,90033,B5,G6350,S,8485027,94969,+34.0503802,-118.2119912,ZCTA5 90033,11.339,ZCTA5 90033,50616.0
80407,Pico / Aliso Station,34.047634,-118.22594,POINT (-118.22594 34.047634),-118.22594,34.047634,28082,90033,90033,B5,G6350,S,8485027,94969,+34.0503802,-118.2119912,ZCTA5 90033,11.339,ZCTA5 90033,50616.0
80409,Union Station - Metro A-Line,34.056061,-118.234759,POINT (-118.234759 34.056061),-118.234759,34.056061,8011,90012,90012,B5,G6350,S,9422176,128581,+34.0659747,-118.2386422,ZCTA5 90012,8.748,ZCTA5 90012,58444.0
80410,Chinatown Station,34.063861,-118.23584,POINT (-118.23584 34.063861),-118.23584,34.063861,8011,90012,90012,B5,G6350,S,9422176,128581,+34.0659747,-118.2386422,ZCTA5 90012,8.748,ZCTA5 90012,58444.0
80411,Lincoln Heights / Cypress Park Station,34.080949,-118.220429,POINT (-118.220429 34.080949),-118.220429,34.080949,8329,90031,90031,B5,G6350,S,9063920,168752,+34.0841971,-118.2085674,ZCTA5 90031,9.599,ZCTA5 90031,59889.0
80412,Heritage Square / Arroyo Station,34.087227,-118.213213,POINT (-118.213213 34.087227),-118.213213,34.087227,28863,90065,90065,B5,G6350,S,14219631,183706,+34.1095946,-118.2286887,ZCTA5 90065,12.696,ZCTA5 90065,88329.0
80413,Southwest Museum Station,34.098243,-118.206712,POINT (-118.206712 34.098243),-118.206712,34.098243,28863,90065,90065,B5,G6350,S,14219631,183706,+34.1095946,-118.2286887,ZCTA5 90065,12.696,ZCTA5 90065,88329.0
80414,Highland Park Station,34.111179,-118.192606,POINT (-118.192606 34.111179),-118.192606,34.111179,8610,90042,90042,B5,G6350,S,11704859,84279,+34.1147083,-118.1920977,ZCTA5 90042,16.869,ZCTA5 90042,89168.0
80415,South Pasadena Station,34.115186,-118.157886,POINT (-118.157886 34.115186),-118.157886,34.115186,7693,91030,91030,B5,G6350,S,8887635,35008,+34.1089567,-118.1566154,ZCTA5 91030,7.16,ZCTA5 91030,127882.0
80416,Fillmore Station,34.133521,-118.148126,POINT (-118.148126 34.133521),-118.148126,34.133521,8317,91105,91105,B5,G6350,S,10866791,85275,+34.1394598,-118.1666485,ZCTA5 91105,3.549,ZCTA5 91105,163253.0
80417,Del Mar Station,34.14191,-118.148214,POINT (-118.148214 34.14191),-118.148214,34.14191,8317,91105,91105,B5,G6350,S,10866791,85275,+34.1394598,-118.1666485,ZCTA5 91105,3.549,ZCTA5 91105,163253.0
80418,Memorial Park Station,34.148356,-118.147512,POINT (-118.147512 34.148356),-118.147512,34.148356,28850,91103,91103,B5,G6350,S,11886234,55781,+34.1673607,-118.1641443,ZCTA5 91103,6.554,ZCTA5 91103,78513.0
80419,Lake Station,34.151806,-118.13139,POINT (-118.13139 34.151806),-118.13139,34.151806,29024,91106,91106,B5,G6350,S,7036428,3397,+34.1394024,-118.1286585,ZCTA5 91106,7.864,ZCTA5 91106,91220.0
80420,Allen Station,34.152417,-118.114348,POINT (-118.114348 34.152417),-118.114348,34.152417,29024,91106,91106,B5,G6350,S,7036428,3397,+34.1394024,-118.1286585,ZCTA5 91106,7.864,ZCTA5 91106,91220.0
80421,Sierra Madre Villa Station,34.147752,-118.081212,POINT (-118.081212 34.147752),-118.081212,34.147752,29091,91107,91107,B5,G6350,S,21906578,167967,+34.1590073,-118.0873527,ZCTA5 91107,9.411,ZCTA5 91107,120822.0
80422,Arcadia Station,34.14286,-118.029199,POINT (-118.029199 34.14286),-118.029199,34.14286,28426,91006,91006,B5,G6350,S,16652745,488299,+34.1351590,-118.0266852,ZCTA5 91006,7.876,ZCTA5 91006,123358.0
80423,Monrovia Station,34.133155,-118.003473,POINT (-118.003473 34.133155),-118.003473,34.133155,28704,91016,91016,B5,G6350,S,21957687,125531,+34.1527996,-118.0004821,ZCTA5 91016,10.574,ZCTA5 91016,95606.0
80424,Duarte / City of Hope Station,34.132518,-117.96768,POINT (-117.96768 34.132518),-117.96768,34.132518,29197,91010,91010,B5,G6350,S,16656660,113263,+34.1410125,-117.9586611,ZCTA5 91010,6.494,ZCTA5 91010,95172.0
80425,Irwindale Station,34.129048,-117.932506,POINT (-117.932506 34.129048),-117.932506,34.129048,8023,91702,91702,B5,G6350,S,168430816,3343647,+34.2815249,-117.8000901,ZCTA5 91702,17.264,ZCTA5 91702,82382.0
80426,Azusa Downtown Station,34.135863,-117.906631,POINT (-117.906631 34.135863),-117.906631,34.135863,8023,91702,91702,B5,G6350,S,168430816,3343647,+34.2815249,-117.8000901,ZCTA5 91702,17.264,ZCTA5 91702,82382.0
80427,APU / Citrus College Station,34.136814,-117.891636,POINT (-117.891636 34.136814),-117.891636,34.136814,8023,91702,91702,B5,G6350,S,168430816,3343647,+34.2815249,-117.8000901,ZCTA5 91702,17.264,ZCTA5 91702,82382.0
80701,Aviation / Century Station,33.945572,-118.378683,POINT (-118.378683 33.945572),-118.378683,33.945572,8012,90045,90045,B5,G6350,S,27865944,779,+33.9423871,-118.4160617,ZCTA5 90045,10.649,ZCTA5 90045,125692.0
80702,Airport Metro Connector,33.949867,-118.378679,POINT (-118.378679 33.949867),-118.378679,33.949867,8012,90045,90045,B5,G6350,S,27865944,779,+33.9423871,-118.4160617,ZCTA5 90045,10.649,ZCTA5 90045,125692.0
80703,Westchester / Veterans Station,33.962031,-118.374378,POINT (-118.374378 33.962031),-118.374378,33.962031,28167,90301,90301,B5,G6350,S,6426469,0,+33.9564643,-118.3586812,ZCTA5 90301,9.513,ZCTA5 90301,61910.0
80704,Downtown Inglewood Station,33.967156,-118.351497,POINT (-118.351497 33.967156),-118.351497,33.967156,28167,90301,90301,B5,G6350,S,6426469,0,+33.9564643,-118.3586812,ZCTA5 90301,9.513,ZCTA5 90301,61910.0
80705,Fairview Heights Station,33.975252,-118.336072,POINT (-118.336072 33.975252),-118.336072,33.975252,28175,90302,90302,B5,G6350,S,4955203,2993,+33.9753500,-118.3560895,ZCTA5 90302,7.388,ZCTA5 90302,68662.0
80706,Hyde Park Station,33.988187,-118.330816,POINT (-118.330816 33.988187),-118.330816,33.988187,8622,90043,90043,B5,G6350,S,10624107,2585,+33.9885046,-118.3363581,ZCTA5 90043,9.132,ZCTA5 90043,63990.0
80707,Leimert Park Station,34.003909,-118.332016,POINT (-118.332016 34.003909),-118.332016,34.003909,8608,90008,90008,B5,G6350,S,7493792,68544,+34.0107237,-118.3428833,ZCTA5 90008,7.432,ZCTA5 90008,57880.0
80708,Martin Luther King Jr Station,34.009563,-118.335359,POINT (-118.335359 34.009563),-118.335359,34.009563,8608,90008,90008,B5,G6350,S,7493792,68544,+34.0107237,-118.3428833,ZCTA5 90008,7.432,ZCTA5 90008,57880.0
80709,Expo / Crenshaw K-Line Station,34.022156,-118.334851,POINT (-118.334851 34.022156),-118.334851,34.022156,7951,90016,90016,B5,G6350,S,9316180,16402,+34.0283315,-118.3543375,ZCTA5 90016,13.063,ZCTA5 90016,63090.0
81401,Grand Ave Arts / Bunker Hill Station,34.054724,-118.251531,POINT (-118.251531 34.054724),-118.251531,34.054724,8011,90012,90012,B5,G6350,S,9422176,128581,+34.0659747,-118.2386422,ZCTA5 90012,8.748,ZCTA5 90012,58444.0
81402,Historic Broadway Station,34.052156,-118.246321,POINT (-118.246321 34.052156),-118.246321,34.052156,8011,90012,90012,B5,G6350,S,9422176,128581,+34.0659747,-118.2386422,ZCTA5 90012,8.748,ZCTA5 90012,58444.0
81403,Little Tokyo / Arts District Station,34.048845,-118.238757,POINT (-118.238757 34.048845),-118.238757,34.048845,8011,90012,90012,B5,G6350,S,9422176,128581,+34.0659747,-118.2386422,ZCTA5 90012,8.748,ZCTA5 90012,58444.0
